[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/22
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/23
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/24
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/25
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/26
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/27
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/28
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/29
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/2a
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/2b
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/2c
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/2d
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/2e
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/2f
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/30
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/31
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/32
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/33
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/34
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/35
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/36
